City_ID,City,Country,Max Temp,Current Description,Rain (inches),Snow (inches),Lat,Lng,Hotel Name
134,Jiaocheng,CN,76.23,overcast clouds,0.0,0,24.68,116.14,Changtan Tourism Resort
135,Cherskiy,RU,80.28,overcast clouds,0.0,0,68.75,161.3,Gostinitsa
137,Puerto Ayora,EC,77.0,few clouds,0.0,0,-0.74,-90.35,Finch Bay Galapagos Hotel
138,Tessalit,ML,96.75,clear sky,0.0,0,20.2,1.01,
139,Callaway,US,87.01,clear sky,0.0,0,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
141,Madarounfa,NE,87.94,clear sky,0.0,0,13.31,7.16,Madarounfa centre ville
142,Sorrento,IT,71.01,clear sky,0.0,0,40.63,14.37,Hotel Sorrento City
143,Aswan,EG,83.53,scattered clouds,0.0,0,24.09,32.91,Nuba Nile
144,Yellowknife,CA,73.4,few clouds,0.0,0,62.46,-114.35,The Explorer Hotel
145,Sibu,MY,77.0,scattered clouds,0.0,0,2.3,111.82,RH HOTEL (4 Star)
146,Bethel,US,84.2,clear sky,0.0,0,41.37,-73.41,Courtyard by Marriott Danbury
148,Cabedelo,BR,78.8,broken clouds,0.0,0,-6.98,-34.83,Lua Mansa Pousada
150,Masuguru,TZ,68.97,scattered clouds,0.0,0,-11.37,38.42,
154,Bayonne,FR,64.99,few clouds,0.0,0,43.33,-1.42,Hôtel du Fronton & Restaurant Bonnet
155,Mercedes,AR,60.01,overcast clouds,0.0,0,-34.65,-59.43,Posada del Inti Centro
157,Udachnyy,RU,60.8,broken clouds,0.0,0,66.42,112.4,Gostinitsa Vilyuy
158,Ribeira Grande,PT,68.0,scattered clouds,0.0,0,38.52,-28.7,Quinta da Meia Eira
159,Greensburg,US,84.99,scattered clouds,0.0,0,40.3,-79.54,Courtyard by Marriott Pittsburgh Greensburg
162,Lata,PT,64.99,clear sky,0.0,0,40.16,-8.33,Casa Maquia
165,Chapleau,CA,82.4,broken clouds,0.0,0,47.84,-83.4,Nemegosenda Lake Lodge
169,Stonehaven,GB,61.0,few clouds,0.0,0,56.96,-2.21,"The Ship Inn, Stonehaven"
170,Pringsewu,ID,71.74,few clouds,0.0,0,-5.36,104.97,Urban Style by Front One
171,Gannan,CN,61.34,clear sky,0.0,0,47.91,123.5,Gannan Supply and Marketing Cooperatives Hostel
172,Clermont,FR,62.6,scattered clouds,0.0,0,49.5,2.42,"gîte"" Le Manoir Enchanté"" de Mme Doumayrou"
175,Sillod,IN,77.81,overcast clouds,0.0,0,20.3,75.65,पवन
176,Ekpoma,NG,71.13,clear sky,0.0,0,6.74,6.14,Purimate
177,Buraydah,SA,89.6,clear sky,0.0,0,26.33,43.98,Mövenpick Hotel Qassim
184,Harper,LR,78.17,overcast clouds,0.0,0,4.38,-7.72,Cape View Guest House
186,Srednekolymsk,RU,82.4,clear sky,0.0,0,67.45,153.68,
187,Cookeville,US,87.8,clear sky,0.0,0,36.16,-85.5,La Quinta Inn & Suites by Wyndham Cookeville
188,Bloomington,US,73.99,overcast clouds,0.0,0,44.84,-93.3,Comfort Inn MSP Airport - Mall Of America
189,Metro,ID,73.65,scattered clouds,0.0,0,-5.11,105.31,OYO 3177 Wisma Lintang
190,Mackay,AU,60.8,overcast clouds,0.0,0,-21.15,149.2,International Lodge Motel
191,Pytalovo,RU,61.52,clear sky,0.0,0,57.07,27.91,Hotel Dubrava
193,Shangrao,CN,71.28,overcast clouds,0.0,0,28.45,117.97,Boyue boutique Hotel
194,Vanimo,PG,78.21,broken clouds,0.0,0,-2.67,141.3,Vahmoneh Lodge Vanimo
198,San Isidro,PE,64.4,overcast clouds,0.0,0,-12.12,-77.05,Radisson Hotel Decapolis Miraflores
201,Luneville,FR,62.6,clear sky,0.0,0,48.6,6.5,Brit Hotel Nancy Lunéville
202,Novo Aripuana,BR,86.0,overcast clouds,0.0,0,-5.12,-60.38,Hotel Ypê
203,Puerto Colombia,CO,89.6,broken clouds,0.0,0,10.99,-74.95,Hotel El Emigrante
204,College,US,71.01,broken clouds,0.0,0,64.86,-147.8,Pike's Waterfront Lodge
206,Bundaberg,AU,61.0,light intensity drizzle,0.0,0,-24.85,152.35,Takalvan Motel
207,Belmonte,BR,77.0,clear sky,0.0,0,-15.86,-38.88,Pousada Monte Carmelo O Pão
211,San Quintin,MX,68.09,clear sky,0.0,0,30.48,-115.95,Old Mill Hotel
213,Bartica,GY,87.8,few clouds,0.0,0,6.4,-58.62,La Vista Hotel and Apartment
214,Vila Velha,BR,77.0,clear sky,0.0,0,-20.33,-40.29,Hotel Vitória Palace
215,Charters Towers,AU,62.73,overcast clouds,0.0,0,-20.1,146.27,Cattleman's Rest Motor Inn
216,Jalu,LY,92.46,clear sky,0.0,0,29.03,21.55,Jalu Hotel
217,Micheweni,TZ,77.68,broken clouds,0.0,0,-4.97,39.83,
218,Malanje,AO,61.02,clear sky,0.0,0,-9.54,16.34,Malanje Hotel
219,Lakatoro,VU,75.2,scattered clouds,0.0,0,-16.1,167.42,Lakatoro Palm Lodge
221,Ugoofaaru,MV,83.64,overcast clouds,0.0,0,5.67,73.0,Ungoofaaru Inn
222,Haines Junction,CA,62.49,broken clouds,0.0,0,60.75,-137.51,Parkside Inn
223,Sao Filipe,CV,74.57,few clouds,0.0,0,14.9,-24.5,Tortuga B&B
224,Tehachapi,US,84.2,clear sky,0.0,0,35.13,-118.45,Holiday Inn Express & Suites Tehachapi Hwy 58/Mill St.
225,Alta Floresta,BR,91.4,few clouds,0.0,0,-9.88,-56.09,Floresta Amazonica Hotel
226,Sioux Lookout,CA,71.6,broken clouds,0.0,0,50.1,-91.92,Knobby's Fly-In Camps
227,Dahuk,IQ,70.36,clear sky,0.0,0,36.87,42.99,Parwar Hotel
231,Chapais,CA,84.2,overcast clouds,0.0,0,49.78,-74.85,Hôtel Opémiska
233,Savannah Bight,HN,83.14,overcast clouds,0.0,0,16.45,-85.85,Villa on Dunbar Rock
234,Palora,EC,68.0,light intensity drizzle,0.0,0,-1.7,-77.93,Rancho grande
235,Le Vauclin,MQ,86.0,overcast clouds,0.0,0,14.55,-60.84,Hôtel Cap Macabou
236,Fairbanks,US,71.01,broken clouds,0.0,0,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
237,Awbari,LY,87.84,clear sky,0.0,0,26.59,12.78,فندق أوباري
238,Salinopolis,BR,80.11,clear sky,0.0,0,-0.61,-47.36,Hotel Salinópolis
242,Lamar,US,86.0,broken clouds,0.0,0,33.67,-95.58,Kings Inn Paris TX
243,Namatanai,PG,81.12,broken clouds,0.0,0,-3.67,152.43,Namatanai Hotel
246,Alamosa,US,75.2,clear sky,0.0,0,37.47,-105.87,Best Western Alamosa Inn
249,Quatis,BR,69.19,clear sky,0.0,0,-22.41,-44.26,Pousada Veneza Porto Real
252,Kerrville,US,91.4,clear sky,0.0,0,30.05,-99.14,Hampton Inn Kerrville
254,Bairiki,KI,80.6,scattered clouds,0.0,0,1.33,172.98,Tarawa Boutique Hotel
255,Aleksandriyskaya,RU,64.4,scattered clouds,0.0,0,44.23,43.35,
258,Ahtopol,BG,72.0,clear sky,0.0,0,42.1,27.95,Agata Beach Hotel
