City_ID,City,Country,Max Temp,Current Description,Humidity,Cloudiness,Rain (inches),Snow (inches),Wind Speed,Lat,Lng
71,Rosetta,EG,73.4,clear sky,73,0,0.0,0,8.05,31.4,30.42
72,Iqaluit,CA,39.2,broken clouds,80,75,0.0,0,5.82,63.75,-68.51
73,Ushuaia,AR,37.4,broken clouds,89,75,0.0,0,7.4,-54.8,-68.3
74,Goundam,ML,97.18,overcast clouds,26,86,0.0,0,10.96,16.41,-3.67
75,Paamiut,GL,40.14,broken clouds,83,81,0.0,0,27.45,61.99,-49.67
76,Vaini,TO,77.0,broken clouds,78,75,0.0,0,18.34,-21.2,-175.2
77,Rio Gallegos,AR,39.2,overcast clouds,69,86,0.0,0,10.29,-51.62,-69.22
78,Talakan,RU,55.71,overcast clouds,77,100,0.0,0,10.8,50.32,130.37
79,Atuona,PF,79.74,clear sky,76,4,0.0,0,16.26,-9.8,-139.03
80,Kamenka,RU,72.0,scattered clouds,69,41,0.0,0,6.46,51.32,42.77
81,Upernavik,GL,41.18,clear sky,73,0,0.0,0,7.52,72.79,-56.15
82,Qaanaaq,GL,40.3,overcast clouds,70,99,0.0,0,7.96,77.48,-69.36
83,Codo,BR,78.76,light rain,79,10,0.22,0,2.77,-4.46,-43.89
84,Cidreira,BR,67.82,light rain,92,51,0.18,0,1.25,-30.18,-50.21
85,Hilo,US,82.4,few clouds,54,20,0.0,0,5.82,19.73,-155.09
86,Aykhal,RU,60.8,broken clouds,63,75,0.0,0,4.47,66.0,111.5
87,Talnakh,RU,48.2,overcast clouds,76,100,0.0,0,13.42,69.49,88.4
88,Tiksi,RU,65.07,clear sky,41,0,0.0,0,5.06,71.69,128.87
89,Pisco,PE,66.99,scattered clouds,72,35,0.0,0,9.17,-13.7,-76.22
90,Poronaysk,RU,47.39,overcast clouds,85,88,0.0,0,1.41,49.22,143.12
91,Akyab,MM,81.86,moderate rain,83,38,2.01,0,11.56,20.15,92.9
92,Port-Gentil,GA,77.0,scattered clouds,88,40,0.0,0,10.29,-0.72,8.78
93,Rocha,UY,52.57,clear sky,87,2,0.0,0,6.46,-34.48,-54.33
94,Camacha,PT,69.8,scattered clouds,77,40,0.0,0,11.41,33.08,-16.33
95,Souillac,MU,71.6,scattered clouds,73,40,0.0,0,16.11,-20.52,57.52
96,Rio Tercero,AR,53.01,overcast clouds,76,100,0.0,0,1.99,-32.17,-64.11
97,Bredasdorp,ZA,59.0,scattered clouds,87,28,0.0,0,5.35,-34.53,20.04
98,Quelimane,MZ,68.0,few clouds,82,20,0.0,0,6.93,-17.88,36.89
99,Khatanga,RU,55.78,broken clouds,60,74,0.0,0,16.64,71.97,102.5
100,Manta,EC,82.4,broken clouds,74,75,0.0,0,11.41,-0.95,-80.73
101,Saskylakh,RU,73.47,light rain,47,100,0.46,0,1.45,71.92,114.08
102,Te Anau,NZ,32.63,scattered clouds,94,40,0.0,0,1.36,-45.42,167.72
103,Ponta Do Sol,PT,71.6,scattered clouds,68,40,0.0,0,13.87,32.67,-17.1
104,Waipawa,NZ,50.0,light rain,84,100,0.42,0,11.52,-41.41,175.52
105,Carnarvon,AU,57.2,clear sky,100,0,0.0,0,10.22,-24.87,113.63
106,Saint-Philippe,RE,68.0,light rain,72,74,0.16,0,3.36,-21.36,55.77
107,Port Alfred,ZA,64.99,few clouds,45,20,0.0,0,7.0,-33.59,26.89
108,Bambous Virieux,MU,71.6,scattered clouds,73,40,0.0,0,16.11,-20.34,57.76
109,Mount Isa,AU,60.8,clear sky,38,0,0.0,0,12.75,-20.73,139.5
110,Thompson,CA,48.2,light rain,100,90,0.0,0,9.17,55.74,-97.86
111,Amarkantak,IN,70.54,overcast clouds,88,96,0.0,0,10.02,22.67,81.75
112,Bandarbeyla,SO,79.97,overcast clouds,73,100,0.0,0,28.99,9.49,50.81
113,Sitka,US,51.8,light rain,87,90,0.0,0,13.87,57.05,-135.33
114,Bo Phloi,TH,77.76,overcast clouds,83,97,0.0,0,3.89,14.32,99.52
115,Port Hardy,CA,55.4,light rain,87,75,0.0,0,13.87,50.7,-127.42
116,Thinadhoo,MV,84.07,overcast clouds,71,100,0.0,0,8.68,0.53,72.93
117,Takaka,NZ,54.0,broken clouds,77,77,0.0,0,3.0,-40.85,172.8
118,Clyde River,CA,39.2,few clouds,93,20,0.0,0,12.75,70.47,-68.59
119,Pangkalanbuun,ID,74.39,overcast clouds,98,100,0.0,0,2.86,-2.68,111.62
120,High Level,CA,78.8,few clouds,36,20,0.0,0,10.29,58.52,-117.14
121,Hamilton,US,91.0,clear sky,43,1,0.0,0,6.93,39.18,-84.53
122,Kuzhener,RU,47.08,clear sky,77,0,0.0,0,9.53,56.81,48.91
123,Knysna,ZA,57.2,overcast clouds,93,100,0.0,0,2.24,-34.04,23.05
124,Aginskoye,RU,53.73,scattered clouds,68,26,0.0,0,4.88,51.1,114.53
125,Ahipara,NZ,54.86,clear sky,83,5,0.0,0,5.64,-35.17,173.17
126,Tuktoyaktuk,CA,35.01,overcast clouds,95,100,0.0,0,9.6,69.45,-133.04
127,Saint George,US,98.01,clear sky,8,1,0.0,0,6.93,37.1,-113.58
128,Irtyshskiy,RU,47.03,broken clouds,93,60,0.0,0,7.58,58.33,68.13
129,Koulikoro,ML,95.02,few clouds,25,11,0.0,0,9.24,14.0,-7.75
130,Bowen,AU,66.99,overcast clouds,93,90,0.0,0,5.82,-20.02,148.23
131,Rayong,TH,82.4,few clouds,88,20,0.0,0,4.7,12.83,101.43
132,Lagdo,CM,82.4,thunderstorm,78,20,0.0,0,3.36,9.05,13.73
133,Torbay,CA,45.0,broken clouds,81,75,0.0,0,12.75,47.67,-52.73
134,Jiaocheng,CN,76.23,overcast clouds,83,100,0.0,0,2.17,24.68,116.14
135,Cherskiy,RU,80.28,overcast clouds,27,100,0.0,0,10.22,68.75,161.3
136,Katsuura,JP,72.0,light rain,90,80,0.21,0,5.32,35.13,140.3
137,Puerto Ayora,EC,77.0,few clouds,69,20,0.0,0,25.28,-0.74,-90.35
138,Tessalit,ML,96.75,clear sky,9,0,0.0,0,4.09,20.2,1.01
139,Callaway,US,87.01,clear sky,70,1,0.0,0,13.87,30.15,-85.57
140,Esperance,AU,39.2,clear sky,86,0,0.0,0,5.82,-33.87,121.9
141,Madarounfa,NE,87.94,clear sky,44,1,0.0,0,14.63,13.31,7.16
142,Sorrento,IT,71.01,clear sky,86,0,0.0,0,6.2,40.63,14.37
143,Aswan,EG,83.53,scattered clouds,22,27,0.0,0,10.94,24.09,32.91
144,Yellowknife,CA,73.4,few clouds,31,20,0.0,0,17.22,62.46,-114.35
145,Sibu,MY,77.0,scattered clouds,94,40,0.0,0,3.36,2.3,111.82
146,Bethel,US,84.2,clear sky,51,1,0.0,0,11.41,41.37,-73.41
147,Ginir,ET,59.22,scattered clouds,93,25,0.0,0,6.26,7.13,40.7
148,Cabedelo,BR,78.8,broken clouds,83,75,0.0,0,9.17,-6.98,-34.83
149,Bonfim,BR,84.54,light rain,72,39,1.0,0,5.61,3.08,-59.95
150,Masuguru,TZ,68.97,scattered clouds,55,44,0.0,0,1.68,-11.37,38.42
151,Bamnet Narong,TH,77.76,light rain,83,90,0.19,0,7.56,15.5,101.69
152,Hermanus,ZA,54.0,broken clouds,94,65,0.0,0,10.6,-34.42,19.23
153,Moose Factory,CA,59.0,moderate rain,87,90,0.0,0,4.7,51.26,-80.61
154,Bayonne,FR,64.99,few clouds,77,12,0.0,0,4.7,43.33,-1.42
155,Mercedes,AR,60.01,overcast clouds,59,100,0.0,0,1.01,-34.65,-59.43
156,Provideniya,RU,57.79,clear sky,42,0,0.0,0,5.01,64.38,-173.3
157,Udachnyy,RU,60.8,broken clouds,63,75,0.0,0,4.47,66.42,112.4
158,Ribeira Grande,PT,68.0,scattered clouds,88,40,0.0,0,13.87,38.52,-28.7
159,Greensburg,US,84.99,scattered clouds,54,40,0.0,0,4.7,40.3,-79.54
160,Preobrazheniye,RU,52.92,light rain,94,100,0.23,0,6.35,42.9,133.91
161,Portland,US,64.0,light rain,88,90,0.51,0,8.05,45.52,-122.68
162,Lata,PT,64.99,clear sky,77,0,0.0,0,3.0,40.16,-8.33
163,Dunedin,NZ,43.0,overcast clouds,94,93,0.0,0,1.99,-45.87,170.5
164,Andenes,NO,51.8,clear sky,81,0,0.0,0,6.93,69.31,16.12
165,Chapleau,CA,82.4,broken clouds,45,75,0.0,0,3.36,47.84,-83.4
